"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.3.162.105","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"2","0.017491","10.3.162.105","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"3","0.057051","10.3.162.105","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"4","0.058453","10.3.162.105","224.0.0.252","LLMNR","67","Standard query 0x282e ANY Owen-PC"
"5","0.066764","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<00>"
"6","0.067003","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<20>"
"7","0.067073","10.3.162.105","10.3.162.255","NBNS","110","Registration NB WORKGROUP<00>"
"8","0.072858","10.3.162.105","224.0.0.252","LLMNR","64","Standard query 0x2019 A wpad"
"9","0.073374","10.3.162.105","224.0.0.252","LLMNR","64","Standard query 0x72b0 A wpad"
"10","0.079213","10.3.162.105","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"11","0.158572","10.3.162.105","224.0.0.252","LLMNR","67","Standard query 0x282e ANY Owen-PC"
"12","0.167336","10.3.162.105","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"13","0.172544","10.3.162.105","224.0.0.252","LLMNR","64","Standard query 0x2019 A wpad"
"14","0.173547","10.3.162.105","224.0.0.252","LLMNR","64","Standard query 0x72b0 A wpad"
"15","0.372627","10.3.162.105","10.3.162.255","NBNS","92","Name query NB WPAD<00>"
"16","0.373631","10.3.162.105","10.3.162.255","NBNS","92","Name query NB WPAD<00>"
"17","0.443812","10.3.162.105","224.0.0.252","LLMNR","66","Standard query 0x5119 A isatap"
"18","0.543590","10.3.162.105","224.0.0.252","LLMNR","66","Standard query 0x5119 A isatap"
"19","0.743683","10.3.162.105","10.3.162.255","NBNS","92","Name query NB ISATAP<00>"
"20","0.816398","10.3.162.105","10.3.162.255","NBNS","110","Registration NB WORKGROUP<00>"
"21","0.816450","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<20>"
"22","0.816483","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<00>"
"23","1.122447","10.3.162.105","10.3.162.255","NBNS","92","Name query NB WPAD<00>"
"24","1.123447","10.3.162.105","10.3.162.255","NBNS","92","Name query NB WPAD<00>"
"25","1.168276","10.3.162.105","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"26","1.192893","10.3.162.105","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"27","1.194167","10.3.162.105","224.0.0.252","LLMNR","67","Standard query 0xe43b ANY Owen-PC"
"28","1.293614","10.3.162.105","224.0.0.252","LLMNR","67","Standard query 0xe43b ANY Owen-PC"
"29","1.493457","10.3.162.105","10.3.162.255","NBNS","92","Name query NB ISATAP<00>"
"30","1.566428","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<00>"
"31","1.566481","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<20>"
"32","1.566514","10.3.162.105","10.3.162.255","NBNS","110","Registration NB WORKGROUP<00>"
"33","1.667399","10.3.162.105","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"34","1.872498","10.3.162.105","10.3.162.255","NBNS","92","Name query NB WPAD<00>"
"35","1.873457","10.3.162.105","10.3.162.255","NBNS","92","Name query NB WPAD<00>"
"36","2.243501","10.3.162.105","10.3.162.255","NBNS","92","Name query NB ISATAP<00>"
"37","2.316467","10.3.162.105","10.3.162.255","NBNS","110","Registration NB WORKGROUP<00>"
"38","2.316520","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<20>"
"39","2.316555","10.3.162.105","10.3.162.255","NBNS","110","Registration NB OWEN-PC<00>"
"40","3.101985","10.3.162.105","224.0.0.252","LLMNR","66","Standard query 0x41d1 A isatap"
"41","3.183937","10.3.162.105","224.0.0.252","LLMNR","64","Standard query 0xb3f6 A wpad"
