"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"2","0.000790","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"3","0.003006","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"4","0.003007","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"5","0.003008","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"6","0.003783","192.168.137.83","224.0.0.252","LLMNR","71","Standard query 0x9cfb ANY Pyndrine-PC"
"7","0.026949","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"8","0.105113","192.168.137.83","224.0.0.252","LLMNR","71","Standard query 0x9cfb ANY Pyndrine-PC"
"9","0.716519","192.168.137.83","192.168.137.1","DNS","77","Standard query 0x30f6 A isatap.mshome.net"
"10","0.720191","192.168.137.1","192.168.137.83","DNS","77","Standard query response 0x30f6 No such name A isatap.mshome.net"
"11","0.721006","192.168.137.83","224.0.0.252","LLMNR","66","Standard query 0xa5bd A isatap"
"12","0.822817","192.168.137.83","224.0.0.252","LLMNR","66","Standard query 0xa5bd A isatap"
"13","0.976835","192.168.137.83","192.168.137.1","DNS","91","Standard query 0x3def SRV _ldap._tcp.dc._msdcs.mshome.net"
"14","0.977396","192.168.137.1","192.168.137.83","DNS","91","Standard query response 0x3def No such name SRV _ldap._tcp.dc._msdcs.mshome.net"
"15","0.978735","192.168.137.83","192.168.137.1","DNS","91","Standard query 0x80dc SRV _ldap._tcp.dc._msdcs.mshome.net"
"16","0.979235","192.168.137.1","192.168.137.83","DNS","91","Standard query response 0x80dc No such name SRV _ldap._tcp.dc._msdcs.mshome.net"
"17","1.384064","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<00>"
"18","1.384855","192.168.137.83","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"19","1.394602","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<20>"
"20","1.494067","192.168.137.83","192.168.137.1","DNS","91","Standard query 0xf076 SRV _ldap._tcp.dc._msdcs.mshome.net"
"21","1.495015","192.168.137.1","192.168.137.83","DNS","91","Standard query response 0xf076 No such name SRV _ldap._tcp.dc._msdcs.mshome.net"
"22","1.789027","192.168.137.83","192.168.137.255","NBNS","92","Name query NB ISATAP<00>"
"23","2.147832","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<20>"
"24","2.148639","192.168.137.83","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"25","2.148639","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<00>"
"26","2.553409","192.168.137.83","192.168.137.255","NBNS","92","Name query NB ISATAP<00>"
"27","2.903829","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<00>"
"28","2.904705","192.168.137.83","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"29","2.904707","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<20>"
"30","3.019670","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"31","3.021605","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"32","3.021606","192.168.137.83","224.0.0.252","LLMNR","71","Standard query 0xc715 ANY Pyndrine-PC"
"33","3.026256","192.168.137.83","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0xe878647b"
"34","3.037660","192.168.137.83","192.168.137.1","DNS","75","Standard query 0x6dd4 A wpad.mshome.net"
"35","3.038090","192.168.137.1","192.168.137.83","DNS","75","Standard query response 0x6dd4 No such name A wpad.mshome.net"
"36","3.039285","192.168.137.83","224.0.0.252","LLMNR","64","Standard query 0x9d1d A wpad"
"37","3.114631","192.168.137.83","224.0.0.252","LLMNR","71","Standard query 0xc715 ANY Pyndrine-PC"
"38","3.134740","192.168.137.83","224.0.0.252","LLMNR","64","Standard query 0x9d1d A wpad"
"39","3.304403","192.168.137.83","192.168.137.1","DNS","77","Standard query 0x3c0a A isatap.mshome.net"
"40","3.304813","192.168.137.1","192.168.137.83","DNS","77","Standard query response 0x3c0a No such name A isatap.mshome.net"
"41","3.305986","192.168.137.83","224.0.0.252","LLMNR","66","Standard query 0x8219 A isatap"
"42","3.334026","192.168.137.83","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"43","3.404739","192.168.137.83","224.0.0.252","LLMNR","66","Standard query 0x8219 A isatap"
"44","3.513775","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"45","3.604013","192.168.137.83","192.168.137.255","NBNS","92","Name query NB ISATAP<00>"
"46","3.653802","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<20>"
"47","3.653803","192.168.137.83","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"48","3.654622","192.168.137.83","192.168.137.255","NBNS","110","Registration NB PYNDRINE-PC<00>"
"49","4.083792","192.168.137.83","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"50","4.106256","192.168.137.83","192.168.137.1","DNS","85","Standard query 0xccda A teredo.ipv6.microsoft.com"
"51","4.156112","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"52","4.353786","192.168.137.83","192.168.137.255","NBNS","92","Name query NB ISATAP<00>"
"53","4.365545","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"54","4.365608","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"55","4.365627","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"56","4.833785","192.168.137.83","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"57","5.103806","192.168.137.83","192.168.137.255","NBNS","92","Name query NB ISATAP<00>"
"58","5.606378","192.168.137.83","192.168.137.1","DNS","76","Standard query 0x719c A www.msftncsi.com"
"59","5.635050","192.168.137.1","192.168.137.83","DNS","181","Standard query response 0x719c A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g.akamai.net A 23.67.252.63 A 23.67.253.34"
"60","5.636791","192.168.137.83","23.67.252.63","TCP","66","49157  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"61","5.666769","23.67.252.63","192.168.137.83","TCP","66","80  >  49157 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1367 SACK_PERM=1 WS=32"
"62","5.667561","192.168.137.83","23.67.252.63","TCP","60","49157  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"63","5.667562","192.168.137.83","23.67.252.63","HTTP","151","GET /ncsi.txt HTTP/1.1 "
"64","5.688501","23.67.252.63","192.168.137.83","TCP","54","80  >  49157 [ACK] Seq=1 Ack=98 Win=14624 Len=0"
"65","5.834823","23.67.252.63","192.168.137.83","HTTP","233","HTTP/1.1 200 OK  (text/plain)"
"66","5.834883","23.67.252.63","192.168.137.83","TCP","54","80  >  49157 [FIN, ACK] Seq=180 Ack=98 Win=14624 Len=0"
"67","5.835596","192.168.137.83","23.67.252.63","TCP","60","49157  >  80 [ACK] Seq=98 Ack=181 Win=65280 Len=0"
"68","5.835597","192.168.137.83","23.67.252.63","TCP","60","49157  >  80 [FIN, ACK] Seq=98 Ack=181 Win=65280 Len=0"
"69","5.895373","23.67.252.63","192.168.137.83","TCP","54","80  >  49157 [ACK] Seq=181 Ack=99 Win=14624 Len=0"
"70","7.118825","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"71","7.322379","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"72","7.322437","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"73","7.322454","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"74","10.118419","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"75","10.327652","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"76","10.327836","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"77","10.328003","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"78","10.631779","192.168.137.83","192.168.137.1","DNS","77","Standard query 0x1cee A isatap.mshome.net"
"79","10.632210","192.168.137.1","192.168.137.83","DNS","77","Standard query response 0x1cee No such name A isatap.mshome.net"
"80","13.127936","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"81","13.339806","192.168.137.1","192.168.137.83","DNS","187","Standard query response 0xccda No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net"
"82","119.288226","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 239.255.255.250 for any sources"
"83","119.509757","192.168.137.83","224.0.0.22","IGMPv3","60","Membership Report / Join group 239.255.255.250 for any sources"
"84","161.381997","192.168.137.83","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"85","161.390251","192.168.137.83","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0xddb62774"
"86","162.145013","192.168.137.83","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"87","162.909388","192.168.137.83","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"88","163.706579","192.168.137.83","192.168.137.1","DNS","73","Standard query 0xf558 A icanhazip.com"
"89","163.731488","192.168.137.1","192.168.137.83","DNS","121","Standard query response 0xf558 A icanhazip.com A 104.238.141.75 A 64.182.208.183 A 104.238.136.31"
"90","163.732981","192.168.137.83","104.238.141.75","TCP","66","49158  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"91","163.950208","104.238.141.75","192.168.137.83","TCP","66","80  >  49158 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1367 SACK_PERM=1 WS=128"
"92","163.950982","192.168.137.83","104.238.141.75","TCP","60","49158  >  80 [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"93","163.950982","192.168.137.83","104.238.141.75","HTTP","228","GET / HTTP/1.1 "
"94","164.053047","104.238.141.75","192.168.137.83","TCP","54","80  >  49158 [ACK] Seq=1 Ack=175 Win=30336 Len=0"
"95","164.259552","104.238.141.75","192.168.137.83","HTTP","457","HTTP/1.1 200 OK  (text/plain)"
"96","164.259622","104.238.141.75","192.168.137.83","TCP","54","80  >  49158 [FIN, ACK] Seq=404 Ack=175 Win=30336 Len=0"
"97","164.260356","192.168.137.83","104.238.141.75","TCP","60","49158  >  80 [ACK] Seq=175 Ack=405 Win=65212 Len=0"
"98","164.261389","192.168.137.83","104.238.141.75","TCP","60","49158  >  80 [FIN, ACK] Seq=175 Ack=405 Win=65212 Len=0"
"99","164.317372","104.238.141.75","192.168.137.83","TCP","54","80  >  49158 [ACK] Seq=405 Ack=176 Win=30336 Len=0"
"100","164.330228","192.168.137.83","38.65.142.12","TCP","66","49159  >  12572 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"101","164.530359","38.65.142.12","192.168.137.83","TCP","66","12572  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1367 SACK_PERM=1 WS=128"
"102","164.531197","192.168.137.83","38.65.142.12","TCP","60","49159  >  12572 [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"103","164.531200","192.168.137.83","38.65.142.12","HTTP","243","GET /WY22/PYNDRINE-PC/0/61-SP1/0/FGBFHKBEHLBMG HTTP/1.1 "
"104","164.727106","38.65.142.12","192.168.137.83","TCP","54","12572  >  49159 [ACK] Seq=1 Ack=190 Win=15744 Len=0"
"105","164.930116","38.65.142.12","192.168.137.83","TCP","54","12572  >  49159 [RST, ACK] Seq=1 Ack=190 Win=15744 Len=0"
"106","164.964558","192.168.137.83","173.216.240.56","TCP","66","49160  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"107","165.069526","173.216.240.56","192.168.137.83","TCP","66","443  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1367 SACK_PERM=1 WS=64"
"108","165.070316","192.168.137.83","173.216.240.56","TCP","60","49160  >  443 [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"109","165.148777","192.168.137.83","173.216.240.56","TLSv1.2","187","Client Hello"
"110","165.254602","173.216.240.56","192.168.137.83","TCP","54","443  >  49160 [ACK] Seq=1 Ack=134 Win=15680 Len=0"
"111","165.468984","173.216.240.56","192.168.137.83","TLSv1.2","1036","Server Hello, Certificate, Server Hello Done"
"112","165.496912","192.168.137.83","173.216.240.56","TLSv1.2","412","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"113","165.622171","173.216.240.56","192.168.137.83","TLSv1.2","145","Change Cipher Spec, Encrypted Handshake Message"
"114","165.711348","192.168.137.83","192.168.137.1","DNS","90","Standard query 0x7d88 A www.download.windowsupdate.com"
"115","165.748032","192.168.137.1","192.168.137.83","DNS","251","Standard query response 0x7d88 A www.download.windowsupdate.com CNAME www.download.windowsupdate.nsatc.net CNAME download.windowsupdate.com.edgesuite.net CNAME a767.g.akamai.net A 23.67.252.42 A 23.67.253.43"
"116","165.750316","192.168.137.83","23.67.252.42","TCP","66","49161  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"117","165.826479","192.168.137.83","173.216.240.56","TCP","60","49160  >  443 [ACK] Seq=492 Ack=1074 Win=64540 Len=0"
"118","165.838504","23.67.252.42","192.168.137.83","TCP","66","80  >  49161 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1367 SACK_PERM=1 WS=32"
"119","165.839281","192.168.137.83","23.67.252.42","TCP","60","49161  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"120","165.839282","192.168.137.83","23.67.252.42","HTTP","271","GET /msdownload/update/v3/static/trustedr/en/authrootstl.cab HTTP/1.1 "
"121","165.899860","23.67.252.42","192.168.137.83","TCP","54","80  >  49161 [ACK] Seq=1 Ack=218 Win=15680 Len=0"
"122","165.901156","23.67.252.42","192.168.137.83","TCP","1421","80  >  49161 [ACK] Seq=1 Ack=218 Win=15680 Len=1367 [TCP segment of a reassembled PDU]"
"123","165.901492","23.67.252.42","192.168.137.83","TCP","1421","80  >  49161 [ACK] Seq=1368 Ack=218 Win=15680 Len=1367 [TCP segment of a reassembled PDU]"
"124","165.901919","23.67.252.42","192.168.137.83","TCP","1421","80  >  49161 [ACK] Seq=2735 Ack=218 Win=15680 Len=1367 [TCP segment of a reassembled PDU]"
"125","165.901952","192.168.137.83","23.67.252.42","TCP","60","49161  >  80 [ACK] Seq=218 Ack=2735 Win=65536 Len=0"
"126","165.917190","23.67.252.42","192.168.137.83","TCP","1421","80  >  49161 [ACK] Seq=4102 Ack=218 Win=15680 Len=1367 [TCP segment of a reassembled PDU]"
"127","165.917276","23.67.252.42","192.168.137.83","TCP","1421","80  >  49161 [ACK] Seq=5469 Ack=218 Win=15680 Len=1367 [TCP segment of a reassembled PDU]"
"128","165.917402","23.67.252.42","192.168.137.83","TCP","1421","80  >  49161 [ACK] Seq=6836 Ack=218 Win=15680 Len=1367 [TCP segment of a reassembled PDU]"
"129","165.917457","23.67.252.42","192.168.137.83","TCP","1421","80  >  49161 [ACK] Seq=8203 Ack=218 Win=15680 Len=1367 [TCP segment of a reassembled PDU]"
