"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.138.158","192.168.138.2","DNS","137","Standard query 0x47ae A va872g.g90e1h.b8.642b63u.j985a2.v33e.37.pa269cc.e8mfzdgrf7g0.groupprograms.in"
"2","0.150951","192.168.138.2","192.168.138.158","DNS","153","Standard query response 0x47ae A va872g.g90e1h.b8.642b63u.j985a2.v33e.37.pa269cc.e8mfzdgrf7g0.groupprograms.in A 62.75.195.236"
"3","0.234945","192.168.138.158","62.75.195.236","TCP","66","49184  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"4","0.366978","62.75.195.236","192.168.138.158","TCP","60","80  >  49184 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"5","0.367073","192.168.138.158","62.75.195.236","TCP","60","49184  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"6","0.367947","192.168.138.158","62.75.195.236","HTTP","647","GET /?285a4d4e4e5a4d4d4649584c5d43064b4745 HTTP/1.1 "
"7","0.368007","62.75.195.236","192.168.138.158","TCP","60","80  >  49184 [ACK] Seq=1 Ack=594 Win=64240 Len=0"
"8","0.730531","62.75.195.236","192.168.138.158","HTTP","816","HTTP/1.1 200 OK  (text/html)"
"9","0.730710","192.168.138.158","62.75.195.236","TCP","60","49184  >  80 [FIN, ACK] Seq=594 Ack=763 Win=63478 Len=0"
"10","0.730775","62.75.195.236","192.168.138.158","TCP","60","80  >  49184 [ACK] Seq=763 Ack=595 Win=64239 Len=0"
"11","0.743705","62.75.195.236","192.168.138.158","TCP","60","80  >  49184 [FIN, PSH, ACK] Seq=763 Ack=595 Win=64239 Len=0"
"12","0.744737","192.168.138.158","62.75.195.236","TCP","60","49184  >  80 [ACK] Seq=595 Ack=764 Win=63478 Len=0"
"13","0.788952","192.168.138.158","192.168.138.2","DNS","136","Standard query 0x6a70 A ubb67.3c147o.u806a4.w07d919.o5f.f1.b80w.r0faf9.e8mfzdgrf7g0.groupprograms.in"
"14","0.789094","192.168.138.158","192.168.138.2","DNS","135","Standard query 0xf2bb A r03afd2.c3008e.xc07r.b0f.a39.h7f0fa5eu.vb8fbl.e8mfzdgrf7g0.groupprograms.in"
"15","0.932551","192.168.138.2","192.168.138.158","DNS","152","Standard query response 0x6a70 A ubb67.3c147o.u806a4.w07d919.o5f.f1.b80w.r0faf9.e8mfzdgrf7g0.groupprograms.in A 62.75.195.236"
"16","0.932984","192.168.138.158","62.75.195.236","TCP","66","49185  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"17","0.946469","192.168.138.2","192.168.138.158","DNS","151","Standard query response 0xf2bb A r03afd2.c3008e.xc07r.b0f.a39.h7f0fa5eu.vb8fbl.e8mfzdgrf7g0.groupprograms.in A 62.75.195.236"
"18","0.946891","192.168.138.158","62.75.195.236","TCP","66","49186  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"19","1.064582","62.75.195.236","192.168.138.158","TCP","60","80  >  49185 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"20","1.064842","192.168.138.158","62.75.195.236","TCP","60","49185  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"21","1.065059","192.168.138.158","62.75.195.236","HTTP","584","GET / HTTP/1.1 "
"22","1.065142","62.75.195.236","192.168.138.158","TCP","60","80  >  49185 [ACK] Seq=1 Ack=531 Win=64240 Len=0"
"23","1.077772","62.75.195.236","192.168.138.158","TCP","60","80  >  49186 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"24","1.077872","192.168.138.158","62.75.195.236","TCP","60","49186  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"25","1.078720","192.168.138.158","62.75.195.236","HTTP","741","GET / HTTP/1.1 "
"26","1.078805","62.75.195.236","192.168.138.158","TCP","60","80  >  49186 [ACK] Seq=1 Ack=688 Win=64240 Len=0"
"27","1.222729","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=1 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"28","1.222897","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=1368 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"29","1.223440","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=2735 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"30","1.223541","192.168.138.158","62.75.195.236","TCP","60","49186  >  80 [ACK] Seq=688 Ack=4102 Win=64240 Len=0"
"31","1.223546","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=4102 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"32","1.223660","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=5469 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"33","1.223817","192.168.138.158","62.75.195.236","TCP","60","49186  >  80 [ACK] Seq=688 Ack=6836 Win=64240 Len=0"
"34","1.236463","62.75.195.236","192.168.138.158","TCP","1514","80  >  49186 [ACK] Seq=6836 Ack=688 Win=64240 Len=1460 [TCP segment of a reassembled PDU]"
"35","1.236480","62.75.195.236","192.168.138.158","TCP","156","80  >  49186 [PSH, ACK] Seq=8296 Ack=688 Win=64240 Len=102 [TCP segment of a reassembled PDU]"
"36","1.236566","192.168.138.158","62.75.195.236","TCP","60","49186  >  80 [ACK] Seq=688 Ack=8398 Win=64240 Len=0"
"37","1.236660","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=8398 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"38","1.236756","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=9765 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"39","1.236814","192.168.138.158","62.75.195.236","TCP","60","49186  >  80 [ACK] Seq=688 Ack=11132 Win=64240 Len=0"
"40","1.236872","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=11132 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"41","1.327637","62.75.195.236","192.168.138.158","TCP","1421","80  >  49185 [PSH, ACK] Seq=1 Ack=531 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"42","1.328118","62.75.195.236","192.168.138.158","TCP","1421","80  >  49185 [PSH, ACK] Seq=1368 Ack=531 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"43","1.328210","62.75.195.236","192.168.138.158","TCP","1421","80  >  49185 [PSH, ACK] Seq=2735 Ack=531 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"44","1.328318","62.75.195.236","192.168.138.158","TCP","1421","80  >  49185 [PSH, ACK] Seq=4102 Ack=531 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"45","1.328430","62.75.195.236","192.168.138.158","TCP","1421","80  >  49185 [PSH, ACK] Seq=5469 Ack=531 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"46","1.328438","192.168.138.158","62.75.195.236","TCP","60","49185  >  80 [ACK] Seq=531 Ack=5469 Win=64240 Len=0"
"47","1.338380","192.168.138.158","62.75.195.236","TCP","60","49186  >  80 [ACK] Seq=688 Ack=12499 Win=62873 Len=0"
"48","1.341112","62.75.195.236","192.168.138.158","TCP","1514","80  >  49185 [ACK] Seq=6836 Ack=531 Win=64240 Len=1460 [TCP segment of a reassembled PDU]"
"49","1.341121","62.75.195.236","192.168.138.158","HTTP","955","HTTP/1.1 200 OK  (application/x-shockwave-flash)"
"50","1.341228","192.168.138.158","62.75.195.236","TCP","60","49185  >  80 [ACK] Seq=531 Ack=9198 Win=64240 Len=0"
"51","1.344307","192.168.138.158","62.75.195.236","TCP","60","49185  >  80 [FIN, ACK] Seq=531 Ack=9198 Win=64240 Len=0"
"52","1.344319","62.75.195.236","192.168.138.158","TCP","60","80  >  49185 [ACK] Seq=9198 Ack=532 Win=64239 Len=0"
"53","1.352290","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=12499 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
"54","1.352512","62.75.195.236","192.168.138.158","TCP","1421","80  >  49186 [PSH, ACK] Seq=13866 Ack=688 Win=64240 Len=1367 [TCP segment of a reassembled PDU]"
