"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.122.62","192.168.122.1","DNS","70","Standard query 0xc377 A google.com"
"2","0.143416","192.168.122.1","192.168.122.62","DNS","86","Standard query response 0xc377 A google.com A 216.58.208.46"
"3","0.146509","192.168.122.62","216.58.208.46","TCP","66","49158  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"4","0.283732","216.58.208.46","192.168.122.62","TCP","66","80  >  49158 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1369 SACK_PERM=1 WS=128"
"5","0.284120","192.168.122.62","216.58.208.46","TCP","60","49158  >  80 [ACK] Seq=1 Ack=1 Win=65712 Len=0"
"6","0.285047","192.168.122.62","216.58.208.46","HTTP","543","GET / HTTP/1.1 "
"7","0.418587","216.58.208.46","192.168.122.62","TCP","54","80  >  49158 [ACK] Seq=1 Ack=490 Win=44032 Len=0"
"8","0.420167","216.58.208.46","192.168.122.62","HTTP","581","HTTP/1.1 302 Found  (text/html)"
"9","0.427827","192.168.122.62","192.168.122.1","DNS","76","Standard query 0xc78e A www.google.co.uk"
"10","0.572545","192.168.122.1","192.168.122.62","DNS","92","Standard query response 0xc78e A www.google.co.uk A 216.58.210.67"
"11","0.573977","192.168.122.62","216.58.210.67","TCP","66","49159  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"12","0.620749","192.168.122.62","216.58.208.46","TCP","60","49158  >  80 [ACK] Seq=490 Ack=528 Win=65184 Len=0"
"13","0.703413","216.58.210.67","192.168.122.62","TCP","66","80  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1369 SACK_PERM=1 WS=128"
"14","0.703768","192.168.122.62","216.58.210.67","TCP","60","49159  >  80 [ACK] Seq=1 Ack=1 Win=65712 Len=0"
"15","0.704222","192.168.122.62","216.58.210.67","HTTP","585","GET /?gfe_rd=cr&ei=l5WSVaXXFrPj8wfRnYHACw HTTP/1.1 "
