"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.122.1","192.168.122.200","DHCP","350","DHCP ACK      - Transaction ID 0x4e4b71a7"
"2","4.999172","192.168.122.1","192.168.122.200","DHCP","350","DHCP ACK      - Transaction ID 0x4e4b71a7"
"3","5.018979","192.168.122.200","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"4","5.026033","192.168.122.200","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"5","5.033858","192.168.122.200","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"6","5.037941","192.168.122.200","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"7","5.039124","192.168.122.200","224.0.0.252","LLMNR","71","Standard query 0x4f01 ANY Geronimo-PC"
"8","5.091215","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<20>"
"9","5.091455","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<00>"
"10","5.091584","192.168.122.200","192.168.122.255","NBNS","110","Registration NB WORKGROUP<00>"
"11","5.140810","192.168.122.200","224.0.0.252","LLMNR","71","Standard query 0x4f01 ANY Geronimo-PC"
"12","5.300465","192.168.122.200","192.168.122.255","NBNS","92","Name query NB ISATAP<00>"
"13","5.475269","192.168.122.200","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"14","5.844437","192.168.122.200","192.168.122.255","NBNS","110","Registration NB WORKGROUP<00>"
"15","5.844538","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<00>"
"16","5.844583","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<20>"
"17","6.054475","192.168.122.200","192.168.122.255","NBNS","92","Name query NB ISATAP<00>"
"18","6.594442","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<20>"
"19","6.594608","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<00>"
"20","6.594689","192.168.122.200","192.168.122.255","NBNS","110","Registration NB WORKGROUP<00>"
"21","6.806400","192.168.122.200","192.168.122.255","NBNS","92","Name query NB ISATAP<00>"
"22","7.346363","192.168.122.200","192.168.122.255","NBNS","110","Registration NB WORKGROUP<00>"
"23","7.346749","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<00>"
"24","7.346895","192.168.122.200","192.168.122.255","NBNS","110","Registration NB GERONIMO-PC<20>"
"25","7.560497","192.168.122.200","224.0.0.252","LLMNR","66","Standard query 0x2cc2 A isatap"
"26","7.656441","192.168.122.200","224.0.0.252","LLMNR","66","Standard query 0x2cc2 A isatap"
